<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
231121;000000;282.29;283.82;281.66;282.79;19.027.720
231122;000000;283.14;286.67;282.85;286.16;47.267.490
231123;000000;286.16;287.77;285.04;286.19;27.692.900
231124;000000;286.48;287.5;285.11;286.85;26.019.540
231127;000000;287.41;289;278.88;282.33;79.026.910
231128;000000;282.4;282.51;277.32;279.91;45.475.110
231129;000000;279.48;280.56;276.2;276.8;29.776.060
231130;000000;276.71;278.65;272.75;277.5;55.837.620
231201;000000;277.04;277.98;273.55;273.97;31.604.310
231204;000000;273.59;274.95;270.52;270.96;37.456.310
231205;000000;271.97;279.65;270.54;279.62;46.800.410
231206;000000;279.92;280.79;266.83;267.58;99.849.690
231207;000000;267.74;270.44;263.06;265.12;63.509.590
231208;000000;266.01;268.23;263.72;265.16;35.322.130
231211;000000;265.17;266.47;254.81;256.89;77.590.450
231212;000000;256.79;262.88;255.05;257.6;63.807.080
231213;000000;257.58;261.39;256.5;260.45;29.760.860
231214;000000;261.4;262.75;255.58;256.64;40.477.500
231215;000000;256.61;268.91;256.61;268.21;84.643.800
231218;000000;268.9;270.44;266.54;268.4;51.515.190
231219;000000;268.35;269.71;265;267.35;38.229.660
231220;000000;267.52;269.1;266.2;266.61;30.929.220
231221;000000;266.55;266.87;263.5;265.19;33.214.370
231222;000000;266.07;271.9;265.37;271.3;58.687.300
231225;000000;271.75;273.85;270.05;271.08;37.827.910
231226;000000;271;272.89;270;271.9;22.575.240
231227;000000;271.9;272.59;270.85;271.08;17.191.450
231228;000000;270.99;272.48;268.52;271.74;29.416.450
231229;000000;272.08;272.59;270.55;270.82;20.792.860
240103;000000;271.75;274.7;271;274.56;20.408.560
240104;000000;274.68;275.48;273.7;274.12;11.679.550
240105;000000;274.3;274.69;272.8;273.62;9.622.380
240108;000000;273.59;277;273.53;276.76;21.427.450
240109;000000;276.94;278;274.71;275.28;20.263.120
240110;000000;275.3;276.16;273.64;274.49;20.618.950
240111;000000;274.62;275.97;274.01;275.71;19.520.470
240112;000000;275.9;276.96;274.77;275.84;17.608.350
240115;000000;276.3;277.73;275.21;275.96;21.283.290
240116;000000;276.24;276.45;274.1;276.01;16.084.140
240117;000000;276.02;279.17;275.75;278;34.137.100
240118;000000;278.22;278.87;276.76;277.07;17.671.830
240119;000000;277.39;277.47;273.55;274.86;28.038.880
240122;000000;274.89;275.9;273.85;274.93;15.050.630
